k,shift,jaccard,mash_distance
7,1,0.6931747992588018,0.028561605930015874
7,2,0.5151912978244562,0.05508735926064133
11,1,0.09026251131514289,0.16348221678185074
11,2,0.058271816269034625,0.20055697849981594
21,1,0.025059337484090675,0.14371962322066856
21,2,0.01408786197978698,0.17063257498058051
31,1,0.011096406393158913,0.12319426076899896
31,2,0.00577195706474043,0.14410813739426684
41,1,0.005621107003595483,0.10960206940783562
41,2,0.0028279019660651765,0.12629016896164091
51,1,0.003335804299481097,0.09829852022976737
51,2,0.0017830109335576114,0.11055070687653781
61,1,0.0021715343826277248,0.08920234872099009
61,2,0.0010424723408548272,0.10121401450789128
71,1,0.0015819589363850555,0.08109189993160704
71,2,0.0006388916910454286,0.09384883271353883
81,1,0.0011611274716028608,0.07489354396241546
81,2,0.0004035512510088781,0.0879316463145092
91,1,0.0008245687841817417,0.0704211762919992
91,2,0.00023544448555379906,0.0841881718532078
101,1,0.0004880100967606226,0.06863876408653995
101,2,6.728116800107649e-05,0.0882529730741948
111,1,0.00025244450428314177,0.06839121036493669
111,2,0.0,inf
121,1,8.416233230655288e-05,0.07181570309770083
121,2,0.0,inf
